method,m,pi0,effect_size,alpha,rep,FDR,Power
Uncorrected,16,0.75,0.5,0.05,48,0.0,0.0
BH,16,0.75,0.5,0.05,49,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,49,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,49,0.5,0.25
BH,16,0.75,0.5,0.05,50,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,50,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,50,1.0,0.0
BH,16,0.75,0.5,0.05,51,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,51,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,51,0.5,0.25
BH,16,0.75,0.5,0.05,52,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,52,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,52,1.0,0.0
BH,16,0.75,0.5,0.05,53,1.0,0.0
Bonferroni,16,0.75,0.5,0.05,53,1.0,0.0
Uncorrected,16,0.75,0.5,0.05,53,1.0,0.0
BH,16,0.75,0.5,0.05,54,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,54,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,54,0.0,0.0
BH,16,0.75,0.5,0.05,55,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,55,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,55,0.0,0.0
BH,16,0.75,0.5,0.05,56,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,56,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,56,0.0,0.25
BH,16,0.75,0.5,0.05,57,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,57,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,57,1.0,0.0
BH,16,0.75,0.5,0.05,58,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,58,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,58,0.0,0.0
BH,16,0.75,0.5,0.05,59,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,59,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,59,1.0,0.0
BH,16,0.75,0.5,0.05,60,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,60,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,60,1.0,0.0
BH,16,0.75,0.5,0.05,61,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,61,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,61,0.5,0.25
BH,16,0.75,0.5,0.05,62,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,62,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,62,1.0,0.0
BH,16,0.75,0.5,0.05,63,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,63,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,63,1.0,0.0
BH,16,0.75,0.5,0.05,64,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,64,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,64,0.5,0.25
BH,16,0.75,0.5,0.05,65,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,65,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,65,0.0,0.0
BH,16,0.75,0.5,0.05,66,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,66,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,66,0.0,0.0
BH,16,0.75,0.5,0.05,67,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,67,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,67,1.0,0.0
BH,16,0.75,0.5,0.05,68,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,68,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,68,0.0,0.25
BH,16,0.75,0.5,0.05,69,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,69,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,69,0.0,0.0
BH,16,0.75,0.5,0.05,70,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,70,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,70,0.0,0.0
BH,16,0.75,0.5,0.05,71,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,71,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,71,0.0,0.0
BH,16,0.75,0.5,0.05,72,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,72,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,72,0.0,0.0
BH,16,0.75,0.5,0.05,73,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,73,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,73,1.0,0.0
BH,16,0.75,0.5,0.05,74,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,74,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,74,0.0,0.0
BH,16,0.75,0.5,0.05,75,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,75,0.0,0.0
